,title,casts,description
63,那些希望我死的人,"安吉丽娜·朱莉,芬恩·利特,乔·博恩瑟,艾丹·吉伦,尼古拉斯·霍尔特,杰克·韦伯,梅迪纳·森戈尔,泰勒·派瑞,布兹·萨瑟兰德,托利·基特尔斯,詹姆斯·乔丹,洛拉·玛汀内斯-康宁安,小霍华德·弗格森,瑞安·杰森·库克,劳拉·尼米,迪兰·科宁,劳伦·波特,雅各布·布朗,斯蒂芬妮·希尔,马特·梅德拉诺,阿尔玛·西斯内罗斯,卢·伍德曼",简介：一名十几岁的凶案证人发现自己在蒙大拿州的荒野中被两名暗杀者追杀，一名求生专家负责保护他-——而一场森林大火正危及他们所有人。...详情
64,中国队长之中队崛起,"郑晓甫,李泰延,杜乔,李景涛",简介：十年前，DB跨国影业”英雄改良计划”秘密实施，初代机中唯一的究极体001号意外从基地中失忆逃脱，在十年后，扮演着一个拥有浮夸演技的影视偶像--中队。老牌超级英雄...详情
65,急先锋,"成龙,杨洋,艾伦,徐若晗,母其弥雅,朱正廷,楼学贤,郭芷妍,埃亚德·胡拉尼,杨建平,周斌,王延龙,王驹",简介：中国商人秦国立在英国惨遭雇佣兵组织“北极狼”绑架，秦的女儿Fareeda（徐若晗 饰）也卷入其中，遭到追杀。千钧一发之际，急先锋国际安保团队成为他们唯一的希望，...详情
66,“大”人物,"王千源,包贝尔,王迅,王砚辉",简介：无力维权的修车工遭遇非法强拆后，选择跳楼自杀；随着小刑警孙大圣（王千源饰）调查的深入，发现这场看似简单的民事纠纷背后其实另有隐情；随着嫌疑目标的锁定，赵泰（包贝...详情
67,使徒行者2：谍影行动,"张家辉,古天乐,吴镇宇,姜珮瑶,张亦驰,刘宇宁,黄志忠,蔡洁,马德钟,袁伟豪,陈山聪,王君馨,张宝儿,江嘉敏,李忠希,刘楚恬,欧瑞伟,郑启泰,黄祥兴,徐荣,林伟,吴瑞庭,卫志豪,黎振烨,汤洛雯,许绍雄,关宛珊",简介：童年兄弟意外失散，30年后因一桩罪案相见，两人已身处不同阵营。随着对罪案调查的深入，一个多年来隐于幕后的恐怖组织渐渐浮出水面。...详情
68,三少爷的剑,"林更新,何润东,江一燕,蒋梦婕,鲍起静",简介：“剑气纵横三万里，一剑光寒十九洲”，神剑山庄三少爷谢晓峰（林更新 饰）惊才绝艳，十年来历经上千大战未尝一败，被天下人尊为“剑神”。传奇剑客燕十三（何润东 饰）一...详情
69,黑白战场,"余文乐,曾志伟,黄伊汶,关秀媚,林雪,陈键锋,张耀",简介：龙老四（曾志伟 饰）是黑道大哥，秘密鲸吞了一亿二千万的公款，准备和情投意合的小三阿姗私奔到国外。此事，引起了帮派四大天王的内斗，并引发血案。米探长（林雪 饰）奉...详情
70,特工的特别任务,"安东尼奥·班德拉斯,梅格·瑞恩,科林·汉克斯,塞尔玛·布莱尔",简介：Henry（科林•汉克斯 饰）有个不修边幅的胖母亲（梅格•瑞恩 饰），他成为联邦调查特工再次回到家中，他被母亲的改变下了一大跳。母亲变得窈窕而富有魅力，性格也变...详情
71,盗亦有道2012,"李凡秀,金秀路,成东日,李是英,金慈玉,高恩美",简介：城市中出现一位行踪诡秘、技巧高超的神秘人物，频频将手眼通天的富豪李正民（金秀路饰）精心藏匿的巨款洗劫一空。黑白通吃的李正民气急败坏，并布下天罗地网，发誓要生擒这...详情
72,清算行动 Решение о ликвидации,"伊戈尔·别特连科,阿列克谢·沃特考夫",简介：无情的极端主义恐怖分子巴兹基夫负责恐怖袭击，导致数以百计的平民死亡，其中包括学童，并正在计划采取新的行动。俄罗斯安全局特工，已对他进行跟踪，意欲一网打尽。...详情
